2025-05-05 21:49:19,789 INFO    MainThread:10120 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_setup.py:_flush():67] Configure stats pid to 10120
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_setup.py:_flush():67] Loading settings from /root/.config/wandb/settings
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_setup.py:_flush():67] Loading settings from /root/autodl-tmp/aslora_new/wandb/settings
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /root/autodl-tmp/aslora_new/wandb/run-20250505_214919-0ltzycoi/logs/debug.log
2025-05-05 21:49:19,790 INFO    MainThread:10120 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /root/autodl-tmp/aslora_new/wandb/run-20250505_214919-0ltzycoi/logs/debug-internal.log
2025-05-05 21:49:19,791 INFO    MainThread:10120 [wandb_init.py:init():781] calling init triggers
2025-05-05 21:49:19,791 INFO    MainThread:10120 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-05 21:49:19,791 INFO    MainThread:10120 [wandb_init.py:init():809] starting backend
2025-05-05 21:49:19,791 INFO    MainThread:10120 [wandb_init.py:init():813] sending inform_init request
2025-05-05 21:49:19,798 INFO    MainThread:10120 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-05 21:49:19,799 INFO    MainThread:10120 [wandb_init.py:init():823] backend started and connected
2025-05-05 21:49:19,801 INFO    MainThread:10120 [wandb_init.py:init():915] updated telemetry
2025-05-05 21:49:19,810 INFO    MainThread:10120 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-05-05 21:49:21,256 INFO    MainThread:10120 [wandb_init.py:init():1014] starting run threads in backend
2025-05-05 21:49:21,484 INFO    MainThread:10120 [wandb_run.py:_console_start():2454] atexit reg
2025-05-05 21:49:21,484 INFO    MainThread:10120 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-05-05 21:49:21,484 INFO    MainThread:10120 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-05-05 21:49:21,484 INFO    MainThread:10120 [wandb_run.py:_redirect():2394] Redirects installed.
2025-05-05 21:49:21,486 INFO    MainThread:10120 [wandb_init.py:init():1056] run started, returning control to user process
2025-05-05 21:49:35,488 INFO    MsgRouterThr:10120 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
